acid,Prr3.492990
PI587550A,1
PI587550B,1
PI587555A,1
PI587557B,1
PI587558B,1
PI587563C,1
PI587565A,1
PI587565B,1
PI587565C,1
PI587567B,1
PI587567C,1
PI587570A,1
PI587571,1
PI587572B,1
PI587575C,1
PI587577B,1
PI587577D,1
PI587577E,1
PI587583B,1
PI587585C,1
PI587585D,1
PI587595B,1
PI587595C,1
PI587596A,1
PI587596C,1
PI587600C,1
PI587601A,1
PI587601B,1
PI587601C,1
PI587601D,1
PI587603C,1
PI587604D,1
PI587612A,1
PI587612B,1
PI587612C,1
PI587620B,1
PI587625B,1
PI587626,1
PI587631A,1
PI587633B,1
PI587633C,1
PI587634A,1
PI587634B,1
PI587636,1
PI587656,1
PI587657,1
PI587658B,1
PI587659A,1
PI587660A,1
PI587664A,1
PI587669,1
PI587670A,1
PI587696,1
PI587697,1
PI587704,1
PI587706,1
PI587716B,1
PI587719A,1
PI587719B,1
PI587719C,1
PI587751,1
PI587753A,1
PI587753B,1
PI587756,1
PI587757A,1
PI587775,1
PI587783,1
PI587784,1
PI587791,1
PI587798,1
PI587799,1
PI587802,1
PI587808A,1
PI587808B,1
PI587811A,1
PI587814C,1
PI587814D,1
PI587814E,1
PI587814F,1
PI587814G,1
PI587815A,1
PI587816,1
PI587821B,1
PI587824,1
PI587825A,1
PI587826,1
PI587835,1
PI587836,1
PI587837,1
PI587839A,1
PI587839B,1
PI587839C,1
PI587841A,1
PI587841B,1
PI587842,1
PI587844A,1
PI587844B,1
PI587850,1
PI587852,1
PI587858,1
PI587872,1
PI587873,1
PI587874,1
PI587875,1
PI587878,1
PI587881,1
PI587882,1
PI587889,1
PI587890A,1
PI587891B,1
PI587973A,1
PI587975,1
PI587987A,1
PI587987C,1
PI587992A,1
PI587994A,1
PI587999A,1
PI588002,1
PI588006A,1
PI588006B,1
PI588009,1
PI588014D,1
PI588016,1
PI588017B,1
PI588017C,1
PI588021A,1
PI588021B,1
PI588023A,1
PI588024B,1
PI588026B,1
PI588032C,1
PI588032D,1
PI588033A,1
PI588033B,1
PI588033C,1
PI587562,1
PI587563A,1
PI587575A,1
PI587575B,1
PI587577H,1
PI587579A,1
PI587580A,1
PI587583A,1
PI587586,1
PI587603A,1
PI587606B,1
PI587606C,1
PI587606D,1
PI587606E,1
PI587608A,1
PI587612D,1
PI587618A,1
PI587629,1
PI587643A,1
PI587645,1
PI587646,1
PI587662B,1
PI587663,1
PI587664B,1
PI587665,1
PI587668B,1
PI587676,1
PI587683,1
PI587684B,1
PI587686A,1
PI587686B,1
PI587687A,1
PI587687B,1
PI587693,1
PI587694,1
PI587698A,1
PI587698B,1
PI587700C,1
PI587703B,1
PI587705A,1
PI587705B,1
PI587714B,1
PI587720,1
PI587721B,1
PI587722,1
PI587723A,1
PI587726B,1
PI587732,1
PI587733,1
PI587735,1
PI587736A,1
PI587737,1
PI587738,1
PI587740,1
PI587741,1
PI587742A,1
PI587742C,1
PI587743,1
PI587744,1
PI587747,1
PI587749,1
PI587759,1
PI587763,1
PI587766,1
PI587769,1
PI587772,1
PI587788A,1
PI587788B,1
PI587788C,1
PI587790A,1
PI587790B,1
PI587797,1
PI587801,1
PI587815B,1
PI587818,1
PI587830A,1
PI587851A,1
PI587885,1
PI587894,1
PI587913A,1
PI587915B,1
PI587967,1
PI588011E,1
PI588014A,1
PI588019A,1
PI588027A,1
PI588027B,1
PI588027C,1
PI588027D,1
PI587570B,1
PI587599,1
PI587615,1
PI587659B,1
PI587673,1
PI587681,1
PI587684A,1
PI587698C,1
PI587714A,1
PI587726A,1
PI587727,1
PI587736B,1
PI587742B,1
PI587754,1
PI587760,1
PI587764,1
PI587765,1
PI587770,1
PI587777,1
PI587806B,1
PI587813,1
PI587814A,1
PI587814B,1
PI587825B,1
PI587847,1
PI587887C,1
PI587992B,1
PI587607A,1
PI587616,1
PI587630C,1
PI587568A,1
PI587568B,1
PI587592B,1
PI587994B,1
PI587891A,1
PI587671,1
PI588050A,5
PI588052A,5
PI588052B,5
PI587550C,5
PI587566B,5
PI587583D,5
PI587589,5
PI587595A,5
PI587598A,5
PI587617,5
PI587660B,5
PI587670B,5
PI587672,5
PI587691,5
PI587692A,5
PI587711,5
PI587712B,5
PI587838,5
PI587898,5
PI588005C,5
PI588010B,5
PI588014B,5
PI587637,5
PI587552,5
PI587553B,5
PI587557A,5
PI587557C,5
PI587558A,5
PI587559A,5
PI587559B,5
PI587560A,5
PI587560C,5
PI587561,5
PI587563B,5
PI587564A,5
PI587564B,5
PI587564C,5
PI587566A,5
PI587567A,5
PI587572A,5
PI587573A,5
PI587574A,5
PI587574B,5
PI587576,5
PI587577C,5
PI587578,5
PI587579C,5
PI587581,5
PI587582,5
PI587584,5
PI587585A,5
PI587585B,5
PI587590,5
PI587591,5
PI587592A,5
PI587593,5
PI587594,5
PI587597B,5
PI587600A,5
PI587600B,5
PI587601E,5
PI587602,5
PI587604A,5
PI587604B,5
PI587604C,5
PI587606A,5
PI587607B,5
PI587608B,5
PI587608C,5
PI587613,5
PI587614,5
PI587620A,5
PI587620D,5
PI587622A,5
PI587622B,5
PI587625A,5
PI587627B,5
PI587627C,5
PI587630A,5
PI587630B,5
PI587633A,5
PI587633D,5
PI587634C,5
PI587635,5
PI587639,5
PI587640,5
PI587641A,5
PI587641B,5
PI587643B,5
PI587644,5
PI587647B,5
PI587648,5
PI587649,5
PI587650,5
PI587651,5
PI587654,5
PI587655,5
PI587661A,5
PI587668A,5
PI587677,5
PI587679,5
PI587680,5
PI587685,5
PI587687D,5
PI587688,5
PI587689,5
PI587690,5
PI587692B,5
PI587695,5
PI587699,5
PI587700A,5
PI587700B,5
PI587701,5
PI587702,5
PI587707,5
PI587708,5
PI587709A,5
PI587709B,5
PI587710,5
PI587715,5
PI587716A,5
PI587716C,5
PI587717,5
PI587718,5
PI587721A,5
PI587721C,5
PI587723B,5
PI587724,5
PI587725B,5
PI587725C,5
PI587728,5
PI587729,5
PI587731,5
PI587739A,5
PI587739B,5
PI587748,5
PI587750,5
PI587755,5
PI587757B,5
PI587761,5
PI587767A,5
PI587768,5
PI587771,5
PI587773,5
PI587774,5
PI587776,5
PI587778,5
PI587780,5
PI587781,5
PI587785,5
PI587793,5
PI587794,5
PI587795,5
PI587803,5
PI587804,5
PI587805,5
PI587806A,5
PI587807,5
PI587809A,5
PI587812A,5
PI587817,5
PI587819,5
PI587820A,5
PI587820B,5
PI587827,5
PI587828,5
PI587830B,5
PI587831,5
PI587833,5
PI587834,5
PI587840,5
PI587843,5
PI587844C,5
PI587846A,5
PI587846B,5
PI587848,5
PI587853,5
PI587854A,5
PI587854B,5
PI587857,5
PI587859,5
PI587860,5
PI587862A,5
PI587862B,5
PI587862C,5
PI587863A,5
PI587863B,5
PI587864A,5
PI587864B,5
PI587865,5
PI587866,5
PI587867,5
PI587868,5
PI587870,5
PI587871,5
PI587876,5
PI587879,5
PI587880A,5
PI587883A,5
PI587883B,5
PI587884,5
PI587886,5
PI587888,5
PI587892A,5
PI587892B,5
PI587892C,5
PI587895,5
PI587896,5
PI587897,5
PI587899,5
PI587901,5
PI587904,5
PI587905,5
PI587913B,5
PI587915A,5
PI587966B,5
PI587968A,5
PI587968B,5
PI587968C,5
PI587969,5
PI587970A,5
PI587970B,5
PI587972,5
PI587973B,5
PI587974,5
PI587976A,5
PI587976B,5
PI587976C,5
PI587976D,5
PI587977,5
PI587978A,5
PI587979A,5
PI587980A,5
PI587980B,5
PI587980C,5
PI587982A,5
PI587982B,5
PI587983A,5
PI587983B,5
PI587984A,5
PI587984B,5
PI587985B,5
PI587986A,5
PI587986B,5
PI587987B,5
PI587988B,5
PI587989B,5
PI587990,5
PI587991,5
PI587992D,5
PI587992E,5
PI587992G,5
PI587993,5
PI587995,5
PI587997A,5
PI587997B,5
PI587998A,5
PI587998B,5
PI587998C,5
PI587998D,5
PI587998E,5
PI587998G,5
PI587999B,5
PI587999C,5
PI588001,5
PI588003,5
PI588004,5
PI588005A,5
PI588005B,5
PI588007A,5
PI588007B,5
PI588008A,5
PI588008B,5
PI588008C,5
PI588008D,5
PI588010A,5
PI588011A,5
PI588011B,5
PI588013,5
PI588015A,5
PI588015B,5
PI588015D,5
PI588017A,5
PI588018,5
PI588020,5
PI588024A,5
PI588025,5
PI588026A,5
PI588026C,5
PI588028,5
PI588029,5
PI588030,5
PI588031,5
PI588032A,5
PI588032B,5
PI588033D,5
PI588039,5
PI588050B,5
PI588051,5
PI588053A,5
PI588053B,5
PI587569,5
PI587577I,5
PI587588B,5
PI587603D,5
PI587619,5
PI587641C,5
PI587647A,5
PI587666,5
PI587667,5
PI587712A,5
PI587734,5
PI587767B,5
PI587800,5
PI587829,5
PI587998F,5
PI587999D,5
PI587554,5
PI587558C,5
PI587560B,5
PI587587A,5
PI587596B,5
PI587597A,5
PI587632B,5
PI587642A,5
PI587674A,5
PI587809B,5
PI587988A,5
PI587553A,5
PI587556B,5
PI587638,5
PI587642B,5
PI587652,5
PI588011C,5
PI588019B,5
PI587605,5
PI587915C,5
