acid,bp488001,
FC003659,4,8
FC003981,5,8
FC030265,4,8
FC030267,5,8
FC030282,5,8
FC030967,5,8
FC031416,5,8
FC031572,5,8
FC031592,2,8
FC031622,5,8
FC031649,5,8
FC031665,5,8
FC031676,5,8
FC031677,5,8
FC031683,5,8
FC031689,5,8
FC031700,4,8
FC031707,5,8
FC031709,4,8
FC031719,5,8
FC031721,5,8
FC031731,5,8
FC031732,5,8
FC031737,5,8
FC031744,5,8
FC031745,4,8
FC031750,5,8
FC031918,5,8
FC031919,3,8
FC031921,5,8
FC031927,5,8
FC031933,5,8
FC031934,5,8
FC031935,4,8
FC031943,5,8
FC031952,4,8
FC032175,5,8
FC032176,5,8
FC033123,5,8
PI036906,4,8
PI054610,4,8
PI055089,4,8
PI059845,5,8
PI060269,4,8
PI060273,5,8
PI060296,5,8
PI062203,5,8
PI062204,3,8
PI065342,5,8
PI071465,3,8
PI071558,4,8
PI071564,4,8
PI071570,5,8
PI071667,3,8
PI071677,5,8
PI079825,4,8
PI079832,5,8
PI079861,5,8
PI079862,5,8
PI080466,1,8
PI080468,5,8
PI080476,4,8
PI080498,4,8
PI081029,4,8
PI081037,5,8
PI081042,5,8
PI081774,5,8
PI081780S,4,9
PI082184S,5,9
PI082286,3,8
PI082312,4,8
PI082588,5,8
PI083836,4,8
PI083874,4,8
PI083942,4,8
PI084632S,5,9
PI084642,5,8
PI084669,5,8
PI084734,5,8
PI084874,5,8
PI084910,5,8
PI084949,4,8
PI084967,5,8
PI085010,4,8
PI085089,4,8
PI085252,3,8
PI085342,4,8
PI085416,5,8
PI085465,4,8
PI085476,4,8
PI085490,5,8
PI085666S,3,9
PI085897,3,8
PI086045S,3,9
PI086078,5,8
PI086084,4,8
PI086091,5,8
PI086109,4,8
PI086113S,5,9
PI086465,5,8
PI086490,4,8
PI086543,4,8
PI086892,5,8
PI086904,4,8
PI086982,4,8
PI087002,5,8
PI087037,3,8
PI087076,4,8
PI087542,4,8
PI087565,5,8
PI087968,5,8
PI088461,5,8
PI088490,3,8
PI088816S,4,9
PI088820,4,8
PI089061,4,8
PI089154S,4,9
PI089469,5,8
PI089775,5,8
PI090243,4,8
PI090251,4,8
PI090406,5,8
PI090481,4,8
PI090495,5,8
PI090499,5,8
PI090577,5,8
PI090768,5,8
PI091100,4,8
PI091159S,3,9
PI091646,5,8
PI091725,5,8
PI092567,5,8
PI092601,5,8
PI092707S,5,9
PI092743,5,8
PI093055S,5,9
PI094159,5,8
PI095780,4,8
PI095860,5,8
PI095959,4,8
PI095960,5,8
PI095969,5,8
PI096035,5,8
PI096089,3,8
PI096169,4,8
PI096257,4,8
PI096354,4,8
PI096786,4,8
PI096983,4,8
PI097066,4,8
PI097081,4,8
PI097094,5,8
PI097100,5,8
PI097150,4,8
PI097161,4,8
PI103079,4,8
PI103419A,5,9
PI123439,5,8
PI123440,3,8
PI123577A,4,9
PI123587,3,8
PI123590,5,8
PI133226,3,8
PI145079,5,8
PI148259,3,8
PI148260,5,8
PI153681,5,8
PI153682,5,8
PI157394,5,8
PI157406,3,8
PI157413,4,8
PI157422,5,8
PI157430,5,8
PI157432,4,8
PI157440,5,8
PI157443,5,8
PI157444,5,8
PI157451,5,8
PI157469,4,8
PI157470,4,8
PI157473,4,8
PI157475,5,8
PI157476,5,8
PI157478,5,8
PI157484,3,8
PI157487A,4,9
PI157488,5,8
PI157493,5,8
PI158751,4,8
PI159093,5,8
PI159094,5,8
PI159095,5,8
PI159096,5,8
PI159097,5,8
PI159319,3,8
PI159321,5,8
PI159322,4,8
PI159922,3,8
PI159923A,4,9
PI159924,3,8
PI159925,4,8
PI159926,3,8
PI159927,3,8
PI163308,1,8
PI164885,3,8
PI165524,2,8
PI165563,5,8
PI165578,5,8
PI165583,5,8
PI165671,5,8
PI165672,5,8
PI165673,5,8
PI165674,3,8
PI165675,1,8
PI165676,1,8
PI165896,5,8
PI165914,5,8
PI165926,5,8
PI165929,5,8
PI165943,5,8
PI165947,5,8
PI165989,5,8
PI166028,5,8
PI166032,5,8
PI166048,5,8
PI166105,5,8
PI166140,5,8
PI166141,5,8
PI166147,5,8
PI166438,3,8
PI170886,4,8
PI170887,4,8
PI170888,4,8
PI170889,4,8
PI170890,4,8
PI170891,4,8
PI170892,5,8
PI170893,4,8
PI170895,4,8
PI170896,4,8
PI170899,4,8
PI171430,4,8
PI171436,4,8
PI171437,4,8
PI171438,5,8
PI171439,4,8
PI171440,4,8
PI171441,4,8
PI171442,5,8
PI171443,5,8
PI171444,5,8
PI171445,1,8
PI171446,1,8
PI171451,5,8
PI172902,4,8
PI174853,5,8
PI174854,3,8
PI174855,5,8
PI174856,5,8
PI174857,5,8
PI174858,5,8
PI174859,3,8
PI174860,3,8
PI174861,3,8
PI174862,4,8
PI174863,4,8
PI174866,5,8
PI174867,3,8
PI174868,5,8
PI175174,4,8
PI175175,3,8
PI175176,3,8
PI175177,3,8
PI175178,3,8
PI175179,3,8
PI175180,5,8
PI175181,5,8
PI175182,5,8
PI175183,5,8
PI175184,3,8
PI175185,5,8
PI175186,5,8
PI175187,4,8
PI175188,5,8
PI175189,4,8
PI175190,3,8
PI175191,5,8
PI175192,4,8
PI175193,4,8
PI175194,4,8
PI175195,4,8
PI175196,5,8
PI175197,5,8
PI175198,4,8
PI175199,4,8
PI179823,4,8
PI179825,4,8
PI179935,5,8
PI180051,5,8
PI180445,5,8
PI181543,5,8
PI181544,3,8
PI181545,5,8
PI181546,5,8
PI181547,5,8
PI181556,5,8
PI181558,5,8
PI181559,4,8
PI181560,5,8
PI181561,5,8
PI181562,5,8
PI181564,5,8
PI181565,5,8
PI181566,5,8
PI181567,5,8
PI181568,5,8
PI181569,5,8
PI181696,3,8
PI181697,3,8
PI181698,3,8
PI183900,3,8
PI183929,5,8
PI183930,5,8
PI187154,5,8
PI187155,4,8
PI187156,4,8
PI189402,1,8
PI192867,5,8
PI192868,4,8
PI192869,4,8
PI192870,5,8
PI192871,2,8
PI192872,4,8
PI192873,5,8
PI192874,2,8
PI194773,3,8
PI196166,5,8
PI196168,5,8
PI196175,4,8
PI196177,5,8
PI197182,3,8
PI198078,3,8
PI200445,5,8
PI200446,5,8
PI200447,5,8
PI200448,5,8
PI200449,4,8
PI200450,5,8
PI200451,5,8
PI200452,5,8
PI200454,5,8
PI200455,5,8
PI200456,5,8
PI200459,1,8
PI200461,5,8
PI200462,5,8
PI200464,5,8
PI200465,5,8
PI200466,5,8
PI200468,5,8
PI200469,5,8
PI200472,4,8
PI200474,5,8
PI200475,5,8
PI200476,5,8
PI200477,5,8
PI200483,5,8
PI200484,5,8
PI200486,3,8
PI200487,3,8
PI200488,3,8
PI200490,5,8
PI200491,5,8
PI200492,5,8
PI200493,5,8
PI200494,5,8
PI200497,4,8
PI200498,5,8
PI200500,5,8
PI200502,5,8
PI200503,2,8
PI200505,5,8
PI200506,5,8
PI200507,5,8
PI200509,5,8
PI200510,5,8
PI200515,3,8
PI200516,5,8
PI200520,3,8
PI200521,3,8
PI200523,5,8
PI200524,5,8
PI200525,5,8
PI200526,4,8
PI200527,5,8
PI200528,5,8
PI200529,5,8
PI200530,5,8
PI200531,5,8
PI200532,5,8
PI200534,4,8
PI200538,5,8
PI200539,5,8
PI200542,5,8
PI200543,5,8
PI200544,5,8
PI200546,5,8
PI200547,5,8
PI200549,4,8
PI200550,3,8
PI200551,3,8
PI200553,4,8
PI200832,4,8
PI201421,5,8
PI201422,4,8
PI201423,5,8
PI201428,5,8
PI201431,5,8
PI203398,3,8
PI203399,3,8
PI203400,3,8
PI203402,3,8
PI203403,3,8
PI203404,5,8
PI203405,3,8
PI203406,3,8
PI204331,3,8
PI204332,3,8
PI204333,3,8
PI204334,3,8
PI204335,3,8
PI204336,3,8
PI204337,3,8
PI204338,3,8
PI204339,3,8
PI204340,3,8
PI205083,5,8
PI205384,5,8
PI205899,3,8
PI205903,3,8
PI205906,4,8
PI205907,3,8
PI205908,3,8
PI205909,3,8
PI205910,3,8
PI205911,3,8
PI205912,3,8
PI205913,3,8
PI205914,3,8
PI205915,3,8
PI206258,4,8
PI208203,4,8
PI208204,3,8
PI208429,3,8
PI208430,3,8
PI208431,5,8
PI208432,5,8
PI208433,5,8
PI208434,3,8
PI208435,3,8
PI208437,5,8
PI208438,5,8
PI208439,2,8
PI208782,5,8
PI208783,4,8
PI208784,5,8
PI208785,4,8
PI208788,5,8
PI208789,5,8
PI209333,3,8
PI209340,3,8
PI209577,3,8
PI209578,3,8
PI209833,3,8
PI209836,5,8
PI209837,3,8
PI209908,4,8
PI210178,3,8
PI210179,3,8
PI210348,3,8
PI210349,3,8
PI210350,3,8
PI210352,5,8
PI210353,5,8
PI212604,4,8
PI212605,4,8
PI212606,4,8
PI212716,2,8
PI215688,3,8
PI215690,3,8
PI215691,3,8
PI215692,3,8
PI215693,1,8
PI215755,3,8
PI215811,4,8
PI219652,5,8
PI219653,3,8
PI219654,3,8
PI219655,3,8
PI219656,1,8
PI219698,5,8
PI219732,5,8
PI219780,4,8
PI219785,5,8
PI219789,5,8
PI221713,5,8
PI221714,4,8
PI221715,5,8
PI221717,4,8
PI221972,5,8
PI221973,4,8
PI222397,4,8
PI222546,5,8
PI222547,3,8
PI222548,3,8
PI222550,3,8
PI224268,4,8
PI224269,5,8
PI224270,1,8
PI224273,5,8
PI227158,4,8
PI227159,5,8
PI227160,4,8
PI227214,5,8
PI227219,5,8
PI227221,5,8
PI227222,5,8
PI227224,5,8
PI227555,5,8
PI227557,4,8
PI227567,5,8
PI227687,4,8
PI228056,4,8
PI228064,4,8
PI228065,5,8
PI229315,5,8
PI229320,5,8
PI229321,5,8
PI229335,4,8
PI229337,4,8
PI229339,5,8
PI229346,5,8
PI229347,5,8
PI229350,3,8
PI229358,5,8
PI230970,5,8
PI230971,2,8
PI230972,1,8
PI230973,3,8
PI230974,4,8
PI230975,3,8
PI230976,5,8
PI230977,3,8
PI230978,5,8
PI230979,5,8
PI230980,3,8
PI230981,3,8
PI235347,5,8
PI238108,3,8
PI238109,3,8
PI238928,4,8
PI238929,5,8
PI238932,5,8
PI239235,3,8
PI239237,3,8
PI239484,3,8
PI240664,3,8
PI240665,3,8
PI240666,3,8
PI240669,3,8
PI240670,3,8
PI240671,4,8
PI240672,3,8
PI241424,2,8
PI245007,3,8
PI245008,3,8
PI247678,3,8
PI247679,3,8
PI248510,3,8
PI253657,3,8
PI253662,1,8
PI253664,4,8
PI255734,2,8
PI256376,2,8
PI259538,3,8
PI259539,3,8
PI259540,3,8
PI259543,3,8
PI262180,3,8
PI263044,4,8
PI265491,3,8
PI265497,4,8
PI265498,3,8
PI274422,5,8
PI274453,3,8
PI274454,3,8
PI274506,3,8
PI274507,3,8
PI274508,4,8
PI279081,3,8
PI279088,3,8
PI281885,2,8
PI281888,2,8
PI281889,2,8
PI281904,2,8
PI281907,1,8
PI283326,2,8
PI283327,3,8
PI283328,2,8
PI284814,2,8
PI284815,3,8
PI284873,2,8
PI285090,2,8
PI285091,2,8
PI285092,2,8
PI285093,3,8
PI285094,2,8
PI285095,2,8
PI303652,2,8
PI303653,4,8
PI304217,4,8
PI307836,2,8
PI307840,4,8
PI307849,2,8
PI307854,2,8
PI307857,2,8
PI307861,2,8
PI307864,2,8
PI307866,3,8
PI307881,2,8
PI307885,3,8
PI307896,2,8
PI309658,2,8
PI310439,2,8
PI310441,2,8
PI312222,4,8
PI315701,3,8
PI319525,4,8
PI319526,3,8
PI319527,2,8
PI319528,2,8
PI319529,2,8
PI319530,4,8
PI319531,4,8
PI319532,2,8
PI319533,2,8
PI322689,3,8
PI322690,3,8
PI322693,2,8
PI322694,2,8
PI322695,2,8
PI323275,3,8
PI323276,2,8
PI323278,2,8
PI323550,1,8
PI323551,2,8
PI323552,2,8
PI323553,2,8
PI323554,2,8
PI323557,2,8
PI323558,2,8
PI323559,2,8
PI323560,3,8
PI323561,2,8
PI323562,2,8
PI323564,2,8
PI323565,3,8
PI323567,2,8
PI323568,2,8
PI323569,3,8
PI323570,2,8
PI323572,2,8
PI323573,2,8
PI323574,2,8
PI323575,2,8
PI323578,2,8
PI323579,2,8
PI324066,4,8
PI324067,3,8
PI324068,2,8
PI324189,3,8
PI324190,3,8
PI324924,3,8
PI326578,2,8
PI330633,3,8
PI330634,4,8
PI330635,4,8
PI331793,2,8
PI331794,2,8
PI331795,2,8
PI339863A,2,9
PI339863B,2,9
PI339864B,2,9
PI339866,2,8
PI339867,3,8
PI339869,3,8
PI339978,3,8
PI339979,4,8
PI339980,2,8
PI339982,2,8
PI339986,3,8
PI339988,2,8
PI339989,3,8
PI339992,3,8
PI339998,5,8
PI339999,5,8
PI340000,3,8
PI340001,5,8
PI340003,5,8
PI340004,4,8
PI340006,3,8
PI340008,3,8
PI340009,3,8
PI340013,3,8
PI340014,3,8
PI340016,2,8
PI340019,4,8
PI340021B,4,9
PI340022,3,8
PI340023,3,8
PI340024,4,8
PI340025,3,8
PI340026,3,8
PI340028,4,8
PI340029,3,8
PI340030,4,8
PI340031B,4,9
PI340032,4,8
PI340043,4,8
PI340044,4,8
PI340045,3,8
PI340050,4,8
PI340051,3,8
PI341252,2,8
PI341263,1,8
PI341264,4,8
PI342002,3,8
PI342003,3,8
PI346298,1,8
PI346300,1,8
PI346301,2,8
PI346302,1,8
PI346304,2,8
PI346305,2,8
PI346306,3,8
PI346307,3,8
PI346308,4,8
PI346309,4,8
PI355067S,3,9
PI355069S,3,9
PI355070S,3,9
PI360834,2,8
PI360839,2,8
PI360851,2,8
PI365426,2,8
PI368037,2,8
PI368038,2,8
PI368039,2,8
PI371607,2,8
PI371609,2,8
PI371610,3,8
PI371611,1,8
PI371612,2,8
PI374154,2,8
PI374155,2,8
PI374156,2,8
PI374157,2,8
PI374158,2,8
PI374159,2,8
PI374160,2,8
PI374161,2,8
PI374162,2,8
PI374163,2,8
PI374164,2,8
PI374165,2,8
PI374166,2,8
PI374167,2,8
PI374168,2,8
PI374169,2,8
PI374171,2,8
PI374172,2,8
PI374173,2,8
PI374174,2,8
PI374175,2,8
PI374176,2,8
PI374177,2,8
PI374178,2,8
PI374179,1,8
PI374180,1,8
PI374181,1,8
PI374182,2,8
PI374183,1,8
PI374184,2,8
PI374186,2,8
PI374219,2,8
PI374220,2,8
PI374221,2,8
PI376069,3,8
PI376070,3,8
PI376844,3,8
PI376845,1,8
PI377573,2,8
PI377575,2,8
PI377576,2,8
PI377577,2,8
PI377578,3,8
PI379618,3,8
PI379619,2,8
PI379620,2,8
PI379621,2,8
PI379622,2,8
PI379623,2,8
PI381656,3,8
PI381657,1,8
PI381659,3,8
PI381660,5,8
PI381661,1,8
PI381662,3,8
PI381663,3,8
PI381664,4,8
PI381665,4,8
PI381666,3,8
PI381667,3,8
PI381668,3,8
PI381669,4,8
PI381670,3,8
PI381671,3,8
PI381672,2,8
PI381673,4,8
PI381674,4,8
PI381675,3,8
PI381676,3,8
PI381677,3,8
PI381678,3,8
PI381679,3,8
PI381680,2,8
PI381681,1,8
PI381682,3,8
PI381683,3,8
PI381684,3,8
PI381685,3,8
PI385943,3,8
PI391597,1,8
PI393542,2,8
PI393543,1,8
PI393544,1,8
PI393545,2,8
PI393546,1,8
PI393547,1,8
PI393548,1,8
PI393549,1,8
PI393550,1,8
PI398183,3,8
PI398184,3,8
PI398186,2,8
PI398187,3,8
PI398189,2,8
PI398192,2,8
PI398193,4,8
PI398194,2,8
PI398195,2,8
PI398196,1,8
PI398203,3,8
PI398207,3,8
PI398209,1,8
PI398210,1,8
PI398212,3,8
PI398213,4,8
PI398216,2,8
PI398217,3,8
PI398218,3,8
PI398219,3,8
PI398220,2,8
PI398238,2,8
PI398239,1,8
PI398240,2,8
PI398241,1,8
PI398246,1,8
PI398253,2,8
PI398254,2,8
PI398255,2,8
PI398259,2,8
PI398262,4,8
PI398263,2,8
PI398264,2,8
PI398266,1,8
PI398269,2,8
PI398277,1,8
PI398279,1,8
PI398280,1,8
PI398284,4,8
PI398285,2,8
PI398286,3,8
PI398287,3,8
PI398288,3,8
PI398292,2,8
PI398301,1,8
PI398302,1,8
PI398304,1,8
PI398307,2,8
PI398308,2,8
PI398309,4,8
PI398316,3,8
PI398323,2,8
PI398324,2,8
PI398328,2,8
PI398330,3,8
PI398331,4,8
PI398332,3,8
PI398333,4,8
PI398335,5,8
PI398336,4,8
PI398337,2,8
PI398338,3,8
PI398339,4,8
PI398340,3,8
PI398341,3,8
PI398343,3,8
PI398344,4,8
PI398345,4,8
PI398346,3,8
PI398347,2,8
PI398348,3,8
PI398351,2,8
PI398352,3,8
PI398353,2,8
PI398354,1,8
PI398361,1,8
PI398362,3,8
PI398363,2,8
PI398364,4,8
PI398365,2,8
PI398369,4,8
PI398370,4,8
PI398372,2,8
PI398373,4,8
PI398376,3,8
PI398377,2,8
PI398378,2,8
PI398381,2,8
PI398387,2,8
PI398390,2,8
PI398391,2,8
PI398393,3,8
PI398399,2,8
PI398400,3,8
PI398402,2,8
PI398403,3,8
PI398407,2,8
PI398409,4,8
PI398411,2,8
PI398413,1,8
PI398418,3,8
PI398422,5,8
PI398423,5,8
PI398424,5,8
PI398427,5,8
PI398428,3,8
PI398432,2,8
PI398433,2,8
PI398434,2,8
PI398436,2,8
PI398437,3,8
PI398438,2,8
PI398445,1,8
PI398447,2,8
PI398448,2,8
PI398449,3,8
PI398452,2,8
PI398453,3,8
PI398454,3,8
PI398455,3,8
PI398456,3,8
PI398457,2,8
PI398458,2,8
PI398459,2,8
PI398460,2,8
PI398461,3,8
PI398462,2,8
PI398465,3,8
PI398466,2,8
PI398467,3,8
PI398468,3,8
PI398469,2,8
PI398471,3,8
PI398473,2,8
PI398474,2,8
PI398476,1,8
PI398477,2,8
PI398478,2,8
PI398479,2,8
PI398480,2,8
PI398481,4,8
PI398483,3,8
PI398485,2,8
PI398487,2,8
PI398488,3,8
PI398496,3,8
PI398497,3,8
PI398498,2,8
PI398500,3,8
PI398502,3,8
PI398506,3,8
PI398507,1,8
PI398508,3,8
PI398509,1,8
PI398510,2,8
PI398511,2,8
PI398512,2,8
PI398513,1,8
PI398515,3,8
PI398517,5,8
PI398518,2,8
PI398520,2,8
PI398521,1,8
PI398524,2,8
PI398525,1,8
PI398526,1,8
PI398527,1,8
PI398528,2,8
PI398530,2,8
PI398533,5,8
PI398534,4,8
PI398535,3,8
PI398536,2,8
PI398538,3,8
PI398539,4,8
PI398541,3,8
PI398542,3,8
PI398543,2,8
PI398544,2,8
PI398545,3,8
PI398546,2,8
PI398547,5,8
PI398548,3,8
PI398550,2,8
PI398552,1,8
PI398553,2,8
PI398554,3,8
PI398555,2,8
PI398556,2,8
PI398557,2,8
PI398560,2,8
PI398561,2,8
PI398562,2,8
PI398563,3,8
PI398564,4,8
PI398567,4,8
PI398568,3,8
PI398569,2,8
PI398570,2,8
PI398571,3,8
PI398573,2,8
PI398574,1,8
PI398575,2,8
PI398576,2,8
PI398577,2,8
PI398578,2,8
PI398579,2,8
PI398580,2,8
PI398581,2,8
PI398582,2,8
PI398583,2,8
PI398584,2,8
PI398585,4,8
PI398586,1,8
PI398587,4,8
PI398589,3,8
PI398590,3,8
PI398591,2,8
PI398592,3,8
PI398593,3,8
PI398594,5,8
PI398595,3,8
PI398596,3,8
PI398597,2,8
PI398598,2,8
PI398602,3,8
PI398603,3,8
PI398605,2,8
PI398606,2,8
PI398607,2,8
PI398608,4,8
PI398610,3,8
PI398611,2,8
PI398612,2,8
PI398613,1,8
PI398614,3,8
PI398616,2,8
PI398618,3,8
PI398622,3,8
PI398623,3,8
PI398627,2,8
PI398629,2,8
PI398630,3,8
PI398632,3,8
PI398633,3,8
PI398635,5,8
PI398646,3,8
PI398647,2,8
PI398648,3,8
PI398649,2,8
PI398650,2,8
PI398651,1,8
PI398653,3,8
PI398658,2,8
PI398659,2,8
PI398660,2,8
PI398661,2,8
PI398662,2,8
PI398663,2,8
PI398665,2,8
PI398668,2,8
PI398670,2,8
PI398671,2,8
PI398673,2,8
PI398675,2,8
PI398676,2,8
PI398677,3,8
PI398678,2,8
