acid,bsrcode492477
PI437970,1
PI567296B,1
PI567323A,1
PI567333A,1
PI567381A,1
PI567523,1
PI567535B,1
PI567542,1
PI567544,1
PI567546,1
PI567552,1
PI567609,1
PI567615,1
PI567479,1
PI567749B,2
PI567511,2
PI567404A,2
PI567545,2
PI567571,2
PI567585B,2
PI567591,2
PI567607B,2
PI567618A,2
PI567574B,2
PI567686,5
PI567690,5
PI567695,5
PI567696A,5
PI567700,5
PI567705,5
PI567706A,5
PI567675,5
PI567676A,5
PI567676B,5
PI567677,5
PI567678,5
PI567679A,5
PI567679B,5
PI567679C,5
PI567681,5
PI567683A,5
PI567685,5
PI567687,5
PI567688B,5
PI567689,5
PI567691,5
PI567692,5
PI567693,5
PI567694,5
PI567696B,5
PI567696C,5
PI567698B,5
PI567701,5
PI567702A,5
PI567703,5
PI567704,5
PI567684A,5
PI567684B,5
PI567699,5
PI567702B,5
PI567488A,5
PI567706B,5
PI567712,5
PI567713A,5
PI567717A,5
PI567729,5
PI567731,5
PI567732,5
PI567753B,5
PI567707,5
PI567708,5
PI567709,5
PI567711A,5
PI567711B,5
PI567713B,5
PI567713C,5
PI567713D,5
PI567713E,5
PI567714,5
PI567715,5
PI567716A,5
PI567716B,5
PI567717B,5
PI567717C,5
PI567718,5
PI567719,5
PI567720B,5
PI567721,5
PI567723,5
PI567724,5
PI567725,5
PI567726,5
PI567727A,5
PI567727B,5
PI567728,5
PI567733,5
PI567734,5
PI567735,5
PI567737,5
PI567738A,5
PI567738B,5
PI567739A,5
PI567740,5
PI567742A,5
PI567743,5
PI567744A,5
PI567746,5
PI567749A,5
PI567750,5
PI567751A,5
PI567752,5
PI567753A,5
PI567753C,5
PI567754,5
PI567755A,5
PI567755B,5
PI567739B,5
PI567720A,5
PI567722,5
PI567751B,5
PI567756,5
PI567730,5
PI567710,5
PI567528A,5
PI567541A,5
PI567336A,5
PI567363B,5
PI567364,5
PI567365,5
PI567415A,5
PI567418A,5
PI567421,5
PI567491A,5
PI567492,5
PI567510A,5
PI567512B,5
PI567562A,5
PI567373A,5
PI567516C,5
PI567535A,5
PI567568A,5
PI567577,5
PI567581,5
PI567583C,5
PI567636,5
PI567507B,5
PI567303A,5
PI567476,5
PI567290A,5
PI567291,5
PI567293,5
PI567294,5
PI567297,5
PI567301B,5
PI567302,5
PI567304,5
PI567305,5
PI567306B,5
PI567307,5
PI567311A,5
PI567311B,5
PI567313,5
PI567317,5
PI567318,5
PI567319A,5
PI567319B,5
PI567323B,5
PI567324,5
PI567327,5
PI567330,5
PI567331,5
PI567335A,5
PI567337,5
PI567351A,5
PI567354,5
PI567357,5
PI567359,5
PI567360,5
PI567361,5
PI567362A,5
PI567362B,5
PI567363A,5
PI567366A,5
PI567369A,5
PI567372A,5
PI567372B,5
PI567416,5
PI567419A,5
PI567419B,5
PI567420,5
PI567422,5
PI567423,5
PI567424A,5
PI567424B,5
PI567425A,5
PI567425B,5
PI567426,5
PI567427,5
PI567429A,5
PI567429B,5
PI567430,5
PI567431,5
PI567432A,5
PI567432B,5
PI567432C,5
PI567433A,5
PI567433B,5
PI567434,5
PI567435A,5
PI567435B,5
PI567436,5
PI567437,5
PI567438,5
PI567440,5
PI567441A,5
PI567441B,5
PI567442,5
PI567443,5
PI567444,5
PI567445B,5
PI567446,5
PI567447A,5
PI567447B,5
PI567448,5
PI567449,5
PI567450,5
PI567452,5
PI567453,5
PI567454,5
PI567456,5
PI567457,5
PI567458,5
PI567460,5
PI567461,5
PI567462,5
PI567463,5
PI567464,5
PI567465,5
PI567467,5
PI567468,5
PI567469A,5
PI567469B,5
PI567470,5
PI567471,5
PI567473A,5
PI567473B,5
PI567474,5
PI567475,5
PI567477,5
PI567478,5
PI567480A,5
PI567481,5
PI567482A,5
PI567482B,5
PI567484,5
PI567485,5
PI567486A,5
PI567486B,5
PI567487,5
PI567489A,5
PI567489B,5
PI567490,5
PI567491B,5
PI567494,5
PI567496,5
PI567497,5
PI567498,5
PI567499,5
PI567500,5
PI567501,5
PI567503,5
PI567504,5
PI567505,5
PI567506,5
PI567507A,5
PI567510B,5
PI567512A,5
PI567513,5
PI567300A,5
PI567323C,5
PI567341,5
PI567358,5
PI567366B,5
PI567367,5
PI567368,5
PI567369B,5
PI567370A,5
PI567371A,5
PI567374,5
PI567375A,5
PI567375B,5
PI567387,5
PI567389A,5
PI567395,5
PI567396A,5
PI567398,5
PI567417C,5
PI567418B,5
PI567418C,5
PI567429C,5
PI567429D,5
PI567429E,5
PI567473C,5
PI567473D,5
PI567480B,5
PI567482C,5
PI567502,5
PI567508A,5
PI567508B,5
PI567509,5
PI567512C,5
PI567514A,5
PI567514B,5
PI567515,5
PI567516A,5
PI567516B,5
PI567518,5
PI567519,5
PI567520B,5
PI567522A,5
PI567522B,5
PI567524,5
PI567525,5
PI567526,5
PI567527,5
PI567528B,5
PI567529,5
PI567530,5
PI567531,5
PI567532,5
PI567533,5
PI567534,5
PI567536,5
PI567537,5
PI567538A,5
PI567538B,5
PI567539,5
PI567540A,5
PI567540B,5
PI567541B,5
PI567541C,5
PI567543A,5
PI567543B,5
PI567543C,5
PI567547,5
PI567549A,5
PI567550,5
PI567551,5
PI567554A,5
PI567554B,5
PI567555,5
PI567556,5
PI567557,5
PI567558,5
PI567559,5
PI567560,5
PI567561,5
PI567562B,5
PI567563A,5
PI567563B,5
PI567564,5
PI567565,5
PI567566,5
PI567567,5
PI567569,5
PI567570,5
PI567572A,5
PI567572B,5
PI567573A,5
PI567573B,5
PI567574A,5
PI567575,5
PI567576,5
PI567578A,5
PI567578B,5
PI567579,5
PI567580A,5
PI567580B,5
PI567582A,5
PI567582B,5
PI567583D,5
PI567584,5
PI567585A,5
PI567586A,5
PI567586B,5
PI567587A,5
PI567587B,5
PI567588A,5
PI567588B,5
PI567589,5
PI567590A,5
PI567590B,5
PI567592,5
PI567593A,5
PI567593B,5
PI567594A,5
PI567595A,5
PI567595B,5
PI567596,5
PI567597A,5
PI567597B,5
PI567597C,5
PI567598B,5
PI567599,5
PI567600,5
PI567601,5
PI567602A,5
PI567602B,5
PI567602C,5
PI567603A,5
PI567603B,5
PI567604A,5
PI567605,5
PI567606,5
PI567607A,5
PI567608,5
PI567610A,5
PI567611,5
PI567612,5
PI567614A,5
PI567614D,5
PI567616,5
PI567617A,5
PI567617B,5
PI567617C,5
PI567620A,5
PI567620B,5
PI567621A,5
PI567622,5
PI567623,5
PI567624,5
PI567626,5
PI567627A,5
PI567627B,5
PI567627C,5
PI567628A,5
PI567628B,5
PI567630A,5
PI567631,5
PI567632A,5
PI567632B,5
PI567633,5
PI567637,5
PI567638,5
PI567639,5
PI567640,5
PI567641,5
PI567642A,5
PI567642B,5
PI567642C,5
PI567643,5
PI567645A,5
PI567646A,5
PI567647A,5
PI567647B,5
PI567648B,5
PI567648C,5
PI567650A,5
PI567650B,5
PI567651,5
PI567652,5
PI567653,5
PI567654,5
PI567655,5
PI567656,5
PI567658,5
PI567659,5
PI567660A,5
PI567661A,5
PI567661B,5
PI567662,5
PI567663,5
PI567664,5
PI567665,5
PI567666,5
PI567667A,5
PI567668,5
PI567669,5
PI567671A,5
PI567671B,5
PI567671C,5
PI567672,5
PI567673A,5
PI567673B,5
PI567674,5
PI567507C,5
PI567507D,5
PI567667B,5
PI567548,5
PI567594B,5
PI567610B,5
PI567618B,5
PI567645B,5
PI567371B,5
PI567549B,5
PI567604B,5
PI567621B,5
PI567646B,5
PI567520A,5
PI567630B,5
PI567447C,5
PI567466A,5
PI567493,5
PI567619,5
PI567644,5
PI567614B,5
PI567455,5
PI567648A,5
PI567649,5
PI567583A,5
PI567583B,5
PI567614C,5
PI567445A,5
PI567336B,5
PI567296A,5
PI567301A,5
PI567306A,5
PI567321A,5
PI567348,5
PI567351B,5
PI567352A,5
PI567352B,5
PI567353,5
PI567428,5
PI567296C,5
PI567396B,5
PI567602D,5
PI567451,5
PI567698A,5
PI567761,5
PI567765A,5
PI567770A,5
PI567774A,5
PI567774B,5
PI567775A,5
PI567745,5
PI567760,5
PI567762A,5
PI567762C,5
PI567771A,5
PI567771B,5
PI567768,5
PI567748,5
PI567758,5
PI567688A,5
PI567697,5
PI567776,5
PI567778,5
PI567747,5
PI567757,5
PI567762B,5
PI534645,5
PI534646,5
